9341.0;0.0;2.0;0.0;14.2;6.0;0.0;3.0;3.5;26.0;16.0;21.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;18.0;70.0
9340.0;2.4;2.5;2.0;14.2;6.6;42.3;5.0;2.2;27.3;15.4;20.8;1.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
9338.0;2.0;3.3;1.8;14.2;7.5;40.2;2.6;3.0;24.6;16.9;22.0;2.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
9337.0;2.5;2.6;2.0;13.7;6.6;0.0;3.5;3.5;26.1;14.9;21.6;2.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
9335.0;2.5;2.2;1.8;14.6;6.0;38.0;2.7;3.1;27.8;16.7;19.5;2.0;0.0;1.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
9357.0;3.4;4.5;1.2;14.5;7.7;39.5;2.7;1.7;24.9;15.5;20.5;1.8;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
9354.0;2.6;2.4;1.8;14.3;6.8;41.9;5.0;2.3;26.9;15.4;20.9;1.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
9374.0;3.2;4.5;1.5;14.0;7.8;40.4;3.0;1.8;24.6;15.4;20.8;1.6;0.0;0.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
9370.0;2.6;2.5;1.7;14.6;6.8;41.0;4.7;2.2;27.1;15.7;20.6;1.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
9371.0;2.4;3.5;1.7;14.9;8.1;0.0;3.2;2.7;25.8;15.2;20.8;1.7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
9387.0;3.4;4.2;1.6;13.7;7.8;39.4;3.2;1.8;25.3;15.8;19.7;1.8;0.0;0.7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
